coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date
Bitcoin,BTC,8.773500853710614,0.45726961442222736,0.10604501021881138,0.13732610458249933,12.723457643211463,20.180439266715474,2022-03-16
Ethereum,ETH,0.45572658004217936,0.5318187364061038,0.17376665503570732,0.18104258643753793,7.053619907835295,8.504978967334875,2022-03-16
Tether,USDT,-0.1429625236091268,-0.40004528839235004,-0.4187977371121317,-0.10311454562021288,20.89513855112647,2.004530483490125,2022-03-16
BNB,BNB,-0.05950555804095834,0.3081713704544748,0.07218418781036176,-0.08562795287819745,0.40119822976856817,1.5857551189089787,2022-03-16
USD Coin,USDC,-0.1429625511058652,-0.40004528839235004,-0.4018673259079077,-0.10311454562021288,1.2988351305742698,1.2748121569796669,2022-03-16
XRP,XRP,-0.14300943871874627,0.34544593144641295,-0.08018951302765227,0.28596214288963046,1.3180212499260717,0.8883888576550106,2022-03-16
Terra,LUNA,-0.12364715603221446,0.5318187364061038,-0.48651938192902755,0.0979812709129646,0.8599645776430928,0.7677953014140054,2022-03-16
Solana,SOL,-0.12449824555373697,0.5318187364061038,-0.1648415690487738,0.07612302998544487,0.5390517963679493,0.6254954073905188,2022-03-16
Cardano,ADA,-0.14300089661691526,0.23362224847059854,-0.13098074664032416,0.01929160357389472,0.23984827629899413,0.5938267789742367,2022-03-16
Polkadot,DOT,-0.13913262076227548,0.7927406633496709,0.1906970662399313,0.31219203200265366,0.17151496370196997,0.431890525588174,2022-03-16
Avalanche,AVAX,-0.12709952429644172,0.9045643463254854,0.13990583262725934,-0.05502641557967044,0.20944418926580446,0.41580262544130236,2022-03-16
Binance USD,BUSD,-0.1429625236091268,-0.43731984938428825,-0.36800650349945974,-0.09437124924920516,1.3594467116107776,0.37402206688493644,2022-03-16
Dogecoin,DOGE,-0.14315551143155325,0.19634768747866033,-0.012467868210756397,-0.15120267566075535,0.059017906758491605,0.30398001845265815,2022-03-16
TerraUSD,UST,-0.1429625236091268,-0.40004528839235004,-0.3510760922952358,-0.09874289743470901,0.16426915535278183,0.29643644561888466,2022-03-16
Shiba Inu,SHIB,-0.1431807467992986,0.5318187364061038,0.07218418781036176,-0.1949191575157939,0.09327354726098573,0.2217533866260883,2022-03-16
Wrapped Bitcoin,WBTC,8.76498559393374,0.38272049243835116,0.10604501021881138,0.13732610458249933,0.055830275642239344,0.19259766298209574,2022-03-16
Cronos,CRO,-0.14309311674936195,0.3081713704544748,0.3261403558737229,0.06300808542893374,-0.06879255811712483,0.16710857470809762,2022-03-16
Polygon,MATIC,-0.14286650325285247,0.7181915413657909,0.17376665503570732,-0.10311454562021288,0.13644927937475618,0.16059524996980346,2022-03-16
Dai,DAI,-0.14296264821736188,-0.36277072740041194,-0.4187977371121317,-0.10311454562021288,0.008008004115478614,0.14782179867645093,2022-03-16
Cosmos Hub,ATOM,-0.13689578291724835,0.2708968094625367,0.4615836455075147,0.049893140872422186,0.1797083198986093,0.12074958454622518,2022-03-16
Litecoin,LTC,-0.11929787034915196,0.23362224847059854,-0.1817719802529961,0.28596214288963046,0.16191648993815655,0.1019095881970555,2022-03-16
Lido Staked Ether,STETH,0.4559229853163769,0.60636785838998,0.1906970662399313,0.18978588280854566,-0.09739406687145374,0.08461379349135761,2022-03-16
Near,NEAR,-0.14086535173686235,1.1654862732690485,0.13990583262725934,0.2947054392606382,0.04111558830010958,0.0823451845443137,2022-03-16
Chainlink,LINK,-0.140036085023584,0.49454417541416557,0.6816789911624264,0.3427935693011807,0.1565541371670338,0.07737194945791866,2022-03-16
TRON,TRX,-0.14316749392619546,0.04724944351090773,-0.31721526988678783,-0.0899996010637013,0.11573256675918199,0.06270346583371199,2022-03-16
FTX Token,FTT,-0.13393442783851486,0.38272049243835116,0.0044625429934675885,0.09360962272746075,-0.07174325360942463,0.053865808748385834,2022-03-16
Bitcoin Cash,BCH,-0.0786790773642836,0.3081713704544748,-0.14791115784454817,0.0673797336144376,0.39491800051934745,0.048865986502366614,2022-03-16
LEO Token,LEO,-0.1418779300393917,-0.10184880045684858,-0.232563213865668,0.13732610458249933,-0.10446062148105806,0.047149323066851025,2022-03-16
OKB,OKB,-0.13902350672105465,0.12179856549478403,0.2584187110568271,0.21164412373606492,-0.03937246674592576,0.03128784992938396,2022-03-16
Algorand,ALGO,-0.14302122499925088,0.5690932973980419,-0.1648415690487738,-0.14683102747525148,-0.049821164902811,0.028131250966759388,2022-03-16
Stellar,XLM,-0.14313994980522243,0.2708968094625367,0.0383233654019155,0.24224566103459194,-0.011421915749036445,0.0218055564357513,2022-03-16
Uniswap,UNI,-0.14120578754547136,0.830015224341609,0.2753491222610511,0.006176659017383589,-0.0364394215463192,0.009151315232433037,2022-03-16
Hedera,HBAR,-0.14313710432925547,0.08452400450284592,-0.5203802043374738,-0.2080341020723055,-0.08099863988629662,0.004408755711017934,2022-03-16
Axie Infinity,AXS,-0.13216896265156172,0.9791134683093615,0.6478181687539785,0.28596214288963046,-8.471456668317936e-06,-0.0005688784880310779,2022-03-16
Decentraland,MANA,-0.14265045745123522,0.4199950534302893,0.6986094023666504,-0.0419114710231593,0.06969389257776082,-0.002702776068193109,2022-03-16
Ethereum Classic,ETC,-0.13730386943141426,0.6809169803738527,0.12297542142303536,-0.05939806376517429,0.00964117923910333,-0.004793066542316299,2022-03-16
Elrond,EGLD,-0.10770777689067476,0.5690932973980419,0.42772282309906684,0.8979928888601703,0.010799587442394395,-0.00538724604986794,2022-03-16
The Sandbox,SAND,-0.14250860919764813,-0.027299678472968582,1.7313644858243125,0.2990770874461421,0.25377151072826076,-0.007070876594257999,2022-03-16
Internet Computer,ICP,-0.1396323630710669,0.38272049243835116,-0.08018951302765227,-0.25612223211284796,-0.04746750558539348,-0.008090890543389436,2022-03-16
Monero,XMR,-0.10186144656206238,-0.2509470444245975,-0.21563280266144402,-0.4222448631619945,-0.013564828527345215,-0.00891107295441712,2022-03-16
cETH,CETH,-0.1314597213836263,-0.40004528839235004,-0.24949362506989198,0.07175138179994146,-0.10476168647521454,-0.014842458365174562,2022-03-16
VeChain,VET,-0.1431703099023735,0.6809169803738527,0.15683624383148334,0.01929160357389472,-0.0020012313311961096,-0.015324594972982206,2022-03-16
Fantom,FTM,-0.14291451343098963,1.2400353952529286,-0.02939827941498038,-0.4484747522750177,0.32045628439285223,-0.01794836120331446,2022-03-16
Filecoin,FIL,-0.13941195270780082,0.23362224847059854,-0.232563213865668,-0.28235212122587067,-0.008923642850402078,-0.018490367711922338,2022-03-16
Osmosis,OSMO,-0.1411315899974412,0.15907312648671848,-0.09711992423187626,-0.10748619380571675,-0.07067409149733933,-0.018807203063374592,2022-03-16
Klaytn,KLAY,-0.14294070080088264,0.23362224847059854,-0.012467868210756397,-0.1555743238462592,-0.08405285169555977,-0.018957373175518513,2022-03-16
Frax,FRAX,-0.14296287451988338,-0.43731984938428825,-0.3849369147036837,-0.10311454562021288,-0.09816716484281687,-0.02336570418900597,2022-03-16
Waves,WAVES,-0.13693506397208782,0.15907312648671848,0.9694959816342339,1.0903454090223406,0.4418802405655285,-0.023491494391414097,2022-03-16
Theta Network,THETA,-0.14256534849908295,0.830015224341609,0.15683624383148334,-0.12060113836222831,-0.06168734315372368,-0.025161126625767447,2022-03-16
Magic Internet Money,MIM,-0.1429630307711904,-0.36277072740041194,-0.33414568109101184,-0.09437124924920516,-0.08858073064182033,-0.025540858985374882,2022-03-16
The Graph,GRT,-0.14308455326117886,-0.2509470444245975,0.29227953346527336,1.2739546328135027,0.036114381453969474,-0.026926489305466025,2022-03-16
Tezos,XTZ,-0.14251515604012138,0.4199950534302893,0.021392954197691574,-0.046283119208662724,-0.06313629176154043,-0.02865468153617007,2022-03-16
cUSDC,CUSDC,-0.14317583435659725,-0.40004528839235004,-0.3849369147036837,-0.09874289743470901,-0.10476206588002551,-0.03435573657955396,2022-03-16
Helium,HNT,-0.13844083774093535,-0.43731984938428825,0.4107924118948429,0.010548307202887436,-0.09663697356234012,-0.041332985542980406,2022-03-16
THORChain,RUNE,-0.1416029626555152,1.1282117122771143,-1.400761586957122,3.2586829090322547,0.0031956590983875676,-0.04182565480731839,2022-03-16
EOS,EOS,-0.14273120184173865,0.34544593144641295,0.13990583262725934,0.10672456728397234,0.017691840790113728,-0.045664458298884575,2022-03-16
ECOMI,OMI,-0.1431800082274464,0.34544593144641295,0.05525377660613948,-1.0605054982455575,-0.1035137039753121,-0.04677477046034887,2022-03-16
IOTA,MIOTA,-0.1430252999722343,0.3081713704544748,-0.21563280266144402,-0.05065476739416658,-0.09499333853613502,-0.04678488606009417,2022-03-16
cDAI,CDAI,-0.14317597341525434,-0.40004528839235004,-0.4018673259079077,-0.10311454562021288,-0.10476204700964646,-0.047689078610780915,2022-03-16
Flow,FLOW,-0.1419957732039102,0.2708968094625367,-0.012467868210756397,-0.33481189945191736,-0.08393527067540747,-0.04818037447577285,2022-03-16
Theta Fuel,TFUEL,-0.1431452935562772,0.5318187364061038,-0.28335444747834154,0.17667093825203406,-0.09892429512424443,-0.04916318841159174,2022-03-16
Aave,AAVE,-0.11318748404078514,1.0163880293012997,1.8160165418454324,0.46082807030978484,-0.0024225960937358485,-0.04979658519740749,2022-03-16
Zcash,ZEC,-0.11067786109270591,0.38272049243835116,0.6986094023666504,0.2247590682925765,-0.004420052177080612,-0.051380529122513036,2022-03-16
Maker,MKR,0.2894738799956407,0.7181915413657909,0.8001918695919941,0.46082807030978484,-0.07110722360497278,-0.05215409865169667,2022-03-16
JUNO,JUNO,-0.13481170472993037,0.3081713704544748,1.2234521496975934,-0.23426399118532865,-0.10059677725468616,-0.05280825411283344,2022-03-16
Gala,GALA,-0.1431310434807218,0.60636785838998,0.3938620006906189,0.05863643724342988,0.09523749736606449,-0.05366994579955155,2022-03-16
BitTorrent,BTT,-0.14318075129609031,-0.10184880045684858,-0.02939827941498038,-0.0899996010637013,-0.07292376980655366,-0.054694586695965615,2022-03-16
Arweave,AR,-0.13608397445056533,-0.4745944103762264,0.850983103204666,-0.09437124924920516,-0.08640774052365244,-0.05569892774264886,2022-03-16
Huobi BTC,HBTC,8.851585043889068,0.60636785838998,0.2584187110568271,0.19415753099404953,-0.10469321032080758,-0.05570194648572166,2022-03-16
PancakeSwap,CAKE,-0.14196522127236835,0.60636785838998,-0.232563213865668,-0.4003866222344753,-0.0670239740685582,-0.05851336051989583,2022-03-16
Quant,QNT,-0.11861263417028509,0.3081713704544748,-0.3510760922952358,-0.046283119208662724,-0.0961616451702978,-0.059180421516019405,2022-03-16
